584.1218872070,330.7836914062
538.8678588867,329.9927978516
491.8312988281,329.4106445312
442.4943847656,327.9403686523
390.5210876465,326.4016418457
334.9574279785,326.6136169434
279.2746887207,323.5419921875
582.2536621094,279.1750793457
537.2129516602,277.3110961914
490.2832031250,274.5340576172
441.8850402832,273.7336425781
390.7688293457,270.9108886719
336.9951782227,267.9898986816
281.0790100098,264.9652709961
580.3085937500,229.4920043945
535.3093261719,226.4635620117
490.2926940918,223.3810882568
440.9135131836,220.2441864014
391.7471008301,216.1141815186
338.9874877930,213.0301208496
284.0945739746,209.0830688477
578.2427978516,180.8212738037
535.0525512695,176.6791992188
488.9939270020,172.3731231689
442.5054016113,167.0166931152
391.4916076660,163.6369628906
339.9180908203,157.5061798096
285.2950134277,152.6793823242
577.0922851562,133.2111968994
533.6826782227,128.0833892822
489.3874816895,121.7819519043
440.9702148438,117.2883224487
393.0338745117,110.9529037476
340.8078918457,105.8195343018
288.5511779785,99.1571731567
